pdate,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,n_admin1,n_admin1_code,n_admin2,n_admin2_code,n_admin3,n_admin3_code,total_count,total_duration_origin,avg_duration_origin,stddev_duration_origin,total_duration_destination,avg_duration_destination,stddev_duration_destination
2016-05-04,92,92,92,92,92,92,91,91,91,91,91,91,1,1.38,1.38,0.0,,,
2016-05-05,88,88,88,88,88,88,89,89,89,89,89,89,4,17.66,4.41,3.84,2.58,2.58,0.0
2016-05-05,88,88,88,88,88,88,90,90,90,90,90,90,2,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,88,88,88,88,88,88,91,91,91,91,91,91,1,214.35,214.35,0.0,,,
2016-05-05,89,89,89,89,89,89,88,88,88,88,88,88,5,12.09,2.42,1.26,,,
2016-05-05,89,89,89,89,89,89,90,90,90,90,90,90,3,2.47,0.82,1.16,,,
2016-05-05,90,90,90,90,90,90,88,88,88,88,88,88,3,0.0,0.0,0.0,,,
2016-05-05,90,90,90,90,90,90,89,89,89,89,89,89,11,420.62,52.58,137.52,0.0,0.0,0.0
2016-05-05,90,90,90,90,90,90,91,91,91,91,91,91,7,7.48,2.49,1.71,5.22,1.04,2.09
2016-05-05,91,91,91,91,91,91,90,90,90,90,90,90,14,2250.29,225.03,449.03,4.37,0.73,1.03
2016-05-05,92,92,92,92,92,92,91,91,91,91,91,91,1,5.93,5.93,0.0,,,
2016-05-06,23,23,23,23,23,23,89,89,89,89,89,89,1,1.07,1.07,0.0,,,
2016-05-06,88,88,88,88,88,88,89,89,89,89,89,89,5,479.68,95.94,189.13,,,
2016-05-06,88,88,88,88,88,88,90,90,90,90,90,90,3,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,88,88,88,88,88,88,91,91,91,91,91,91,1,4.48,4.48,0.0,,,
2016-05-06,89,89,89,89,89,89,88,88,88,88,88,88,1,0.95,0.95,0.0,,,
2016-05-06,89,89,89,89,89,89,90,90,90,90,90,90,7,589.02,117.8,233.41,0.0,0.0,0.0
2016-05-06,90,90,90,90,90,90,88,88,88,88,88,88,1,,,,0.0,0.0,0.0
2016-05-06,90,90,90,90,90,90,89,89,89,89,89,89,8,32.26,5.38,10.23,0.0,0.0,0.0
2016-05-06,90,90,90,90,90,90,91,91,91,91,91,91,7,595.3,148.83,194.83,0.0,0.0,0.0
2016-05-06,91,91,91,91,91,91,90,90,90,90,90,90,3,0.92,0.92,0.0,0.0,0.0,0.0
2016-05-06,91,91,91,91,91,91,92,92,92,92,92,92,1,309.6,309.6,0.0,,,
2016-05-07,23,23,23,23,23,23,89,89,89,89,89,89,1,1.55,1.55,0.0,,,
2016-05-07,88,88,88,88,88,88,89,89,89,89,89,89,2,210.1,105.05,102.73,0.0,0.0,0.0
2016-05-07,88,88,88,88,88,88,90,90,90,90,90,90,1,,,,0.0,0.0,0.0
2016-05-07,88,88,88,88,88,88,91,91,91,91,91,91,1,3.03,3.03,0.0,,,
2016-05-07,89,89,89,89,89,89,88,88,88,88,88,88,2,65.49,32.75,29.03,,,
2016-05-07,89,89,89,89,89,89,90,90,90,90,90,90,7,852.62,213.16,310.82,0.0,0.0,0.0
2016-05-07,89,89,89,89,89,89,91,91,91,91,91,91,2,2.84,1.42,1.15,,,
2016-05-07,90,90,90,90,90,90,89,89,89,89,89,89,5,907.55,302.52,426.62,0.0,0.0,0.0
2016-05-07,90,90,90,90,90,90,91,91,91,91,91,91,6,325.77,54.29,120.09,,,
2016-05-07,91,91,91,91,91,91,88,88,88,88,88,88,1,4.38,4.38,0.0,,,
2016-05-07,91,91,91,91,91,91,89,89,89,89,89,89,1,1.65,1.65,0.0,2.57,2.57,0.0
2016-05-07,91,91,91,91,91,91,90,90,90,90,90,90,6,491.55,163.85,231.72,0.0,0.0,0.0
2016-05-07,92,92,92,92,92,92,91,91,91,91,91,91,1,194.43,194.43,0.0,,,
2016-05-08,88,88,88,88,88,88,89,89,89,89,89,89,1,217.9,217.9,0.0,,,
2016-05-08,88,88,88,88,88,88,90,90,90,90,90,90,4,0.0,0.0,0.0,2.35,1.18,1.18
2016-05-08,88,88,88,88,88,88,91,91,91,91,91,91,1,0.0,0.0,0.0,,,
2016-05-08,88,88,88,88,88,88,92,92,92,92,92,92,2,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-08,89,89,89,89,89,89,90,90,90,90,90,90,2,953.4,953.4,0.0,0.0,0.0,0.0
2016-05-08,89,89,89,89,89,89,91,91,91,91,91,91,28,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-08,89,89,89,89,89,89,92,92,92,92,92,92,5,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-08,90,90,90,90,90,90,88,88,88,88,88,88,6,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-08,90,90,90,90,90,90,89,89,89,89,89,89,8,231.03,46.21,92.41,0.0,0.0,0.0
2016-05-08,90,90,90,90,90,90,90,90,90,90,90,90,1,2.35,2.35,0.0,0.0,0.0,0.0
2016-05-08,90,90,90,90,90,90,91,91,91,91,91,91,14,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-08,90,90,90,90,90,90,92,92,92,92,92,92,2,,,,0.0,0.0,0.0
2016-05-08,91,91,91,91,91,91,88,88,88,88,88,88,4,2.95,2.95,0.0,0.0,0.0,0.0
2016-05-08,91,91,91,91,91,91,89,89,89,89,89,89,20,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-08,91,91,91,91,91,91,90,90,90,90,90,90,29,1.05,0.07,0.25,0.0,0.0,0.0
2016-05-08,91,91,91,91,91,91,92,92,92,92,92,92,2,205.47,102.74,98.52,20.3,20.3,0.0
2016-05-08,92,92,92,92,92,92,88,88,88,88,88,88,3,,,,0.0,0.0,0.0
2016-05-08,92,92,92,92,92,92,89,89,89,89,89,89,10,1.03,0.13,0.34,0.0,0.0,0.0
2016-05-08,92,92,92,92,92,92,90,90,90,90,90,90,4,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,88,88,88,88,88,88,89,89,89,89,89,89,1,153.18,153.18,0.0,,,
2016-05-09,88,88,88,88,88,88,90,90,90,90,90,90,2,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,88,88,88,88,88,88,91,91,91,91,91,91,1,0.0,0.0,0.0,,,
2016-05-09,88,88,88,88,88,88,92,92,92,92,92,92,1,0.0,0.0,0.0,,,
2016-05-09,89,89,89,89,89,89,88,88,88,88,88,88,1,0.0,0.0,0.0,,,
2016-05-09,89,89,89,89,89,89,90,90,90,90,90,90,3,237.5,118.75,118.75,0.0,0.0,0.0
2016-05-09,89,89,89,89,89,89,91,91,91,91,91,91,18,25.5,3.19,8.43,0.0,0.0,0.0
2016-05-09,89,89,89,89,89,89,92,92,92,92,92,92,1,,,,0.0,0.0,0.0
2016-05-09,90,90,90,90,90,90,88,88,88,88,88,88,4,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,90,90,90,90,90,90,89,89,89,89,89,89,8,2.75,0.55,1.1,0.0,0.0,0.0
2016-05-09,90,90,90,90,90,90,91,91,91,91,91,91,21,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,90,90,90,90,90,90,92,92,92,92,92,92,4,0.62,0.21,0.29,0.0,0.0,0.0
2016-05-09,91,91,91,91,91,91,88,88,88,88,88,88,4,131.74,65.87,59.45,0.0,0.0,0.0
2016-05-09,91,91,91,91,91,91,89,89,89,89,89,89,18,0.0,0.0,0.0,25.5,2.13,7.05
2016-05-09,91,91,91,91,91,91,90,90,90,90,90,90,22,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,91,91,91,91,91,91,92,92,92,92,92,92,1,0.65,0.65,0.0,,,
2016-05-09,92,92,92,92,92,92,88,88,88,88,88,88,5,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,92,92,92,92,92,92,89,89,89,89,89,89,4,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,92,92,92,92,92,92,90,90,90,90,90,90,2,0.0,0.0,0.0,0.62,0.62,0.0
2016-05-09,92,92,92,92,92,92,91,91,91,91,91,91,1,97.8,97.8,0.0,,,
2016-05-10,88,88,88,88,88,88,89,89,89,89,89,89,1,196.95,196.95,0.0,,,
2016-05-10,88,88,88,88,88,88,90,90,90,90,90,90,1,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,88,88,88,88,88,88,91,91,91,91,91,91,3,0.0,0.0,0.0,,,
2016-05-10,89,89,89,89,89,89,90,90,90,90,90,90,5,1.37,0.34,0.59,0.0,0.0,0.0
2016-05-10,89,89,89,89,89,89,91,91,91,91,91,91,18,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,89,89,89,89,89,89,92,92,92,92,92,92,4,0.0,0.0,0.0,,,
2016-05-10,90,90,90,90,90,90,88,88,88,88,88,88,4,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,90,90,90,90,90,90,89,89,89,89,89,89,8,1745.57,290.93,218.94,0.0,0.0,0.0
2016-05-10,90,90,90,90,90,90,91,91,91,91,91,91,24,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,90,90,90,90,90,90,92,92,92,92,92,92,2,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,91,91,91,91,91,91,88,88,88,88,88,88,8,239.38,59.85,103.65,0.0,0.0,0.0
2016-05-10,91,91,91,91,91,91,89,89,89,89,89,89,22,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,91,91,91,91,91,91,90,90,90,90,90,90,19,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,91,91,91,91,91,91,92,92,92,92,92,92,1,531.5,531.5,0.0,,,
2016-05-10,92,92,92,92,92,92,88,88,88,88,88,88,2,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,92,92,92,92,92,92,89,89,89,89,89,89,6,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,92,92,92,92,92,92,90,90,90,90,90,90,4,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,92,92,92,92,92,92,91,91,91,91,91,91,2,979.82,489.91,489.31,,,
